"url","type_bien","titre","prix","surface_habitable","surface_terrain","pieces","ville","cp","dpe","ges","features","description"
"https://www.etreproprio.com/immobilier-24095323-vente-appartement-57m-a-chamonix-mont-blanc-chamonix-mont-blanc","Appartement","Appartement 57m² à chamonix-mont-blanc","850000","58","","3","Chamonix-Mont-Blanc","74400","E","C","parking, ascenseur","Appartement 2 chambres vue Mont-Blanc - Rue Paccard à Chamonix - Possible d'acquérir l'appartement voisin   ON AIME : Le coté historique du bâtiment, sa double exposition, sa position au 5ème étage, sa jolie vue sur le Mont-Blanc et son massif, son balcon Est, ses 2 chambres, sa salle de bains avec toilette séparé, son parking couvert.  Rare sur la marché ! Possibilité d'acquérir l'appartement voisin.  LE QUARTIER : Rue Paccard, centre ville de Chamonix dans un bâtiment chargé d'histoire, à proximité immédiates de tous les commerces. Grace à son exposition sud, l'appartement profite de beaucoup de calme. Un arrêt de bus se situe à 3 minutes à pied de l'appartement, la gare de Chamonix est accessible en 10 minutes à pied."
"https://www.etreproprio.com/immobilier-24095277-vente-constructible-chamonix-mont-blanc","","Constructible","1250000","1381","","","Chamonix-Mont-Blanc","74400","","","","Aux Tines, secteur très recherché de Chamonix et loin de toutes nuisances,un terrain constructible plat d'environ 1381 m² vendu avec un permis de construire purgé de tout recours pour l'édification d'un chalet de 198.29m²  RARISSIME A LA VENTE!    Géorisques  Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques.https://www.georisques.gouv.fr"
"https://www.etreproprio.com/immobilier-24095324-vente-appartement-49m-a-chamonix-mont-blanc-chamonix-mont-blanc","Appartement","Appartement 49m² à chamonix-mont-blanc","730000","49","","3","Chamonix-Mont-Blanc","74400","E","C","ascenseur","Appartement 2 chambres vue Mont-Blanc - Rue Paccard à Chamonix - Possible d'acquérir l'appartement voisin   ON AIME : Le coté historique du bâtiment, sa double exposition Est et Sud, sa position au 5ème étage, sa jolie vue sur le Mont-Blanc et son massif, ses 2 chambres, sa salle de bains avec toilette séparé, sa cave pour plus de rangement.  Rare sur la marché ! Possibilité d'acquérir l'appartement voisin.  LE QUARTIER : Rue Paccard, centre ville de Chamonix dans un bâtiment chargé d'histoire, à proximité immédiates de tous les commerces. Grace à son exposition sud, l'appartement profite de beaucoup de calme. Un arrêt de bus se situe à 3 minutes à pied de l'appartement, la gare de Chamonix est accessible en 10 minutes à pied."
"https://www.etreproprio.com/immobilier-23727648-vente-chamonix-appartement-2-pieces-coin-montagne-avec-vue-sur-les-montagnes-chamonix-mont-blanc","Appartement","Chamonix – appartement 2 pièces  + coin montagne -  avec vue sur les montagnes","440000","36","","2","Chamonix-Mont-Blanc","74400","E","B","balcon/terrasse, ascenseur","Dans une des résidences les plus   prisées de Chamonix, à seulement 15 minutes à pied du centre-ville et à proximité immédiate du golf et du télécabine de la Flégère.  Situé au 3ᵉ et dernier étage, cet appartement de 2 pièces + chambre cabine d’une superficie de 36 m2, rénové récemment offre une vue exceptionnelle sur la chaîne du Mont-Blanc   Il est ainsi distribué : entrée, pièce de vie avec cuisine équipée ouverte sur le séjour et accès sur un balcon de 6 m2 au balcon, chambre double avec placards intégrés, chambre cabine/bureau avec rangement, salle de douche et de toilettes séparées.  Atouts supplémentaires : place de parking privative en souterrain, cave et casier à skis.  Copropriété de 148 lots, calme et ensoleillée, ce bien est idéal comme pied-à-terre à la montagne et un investissement locatif en hiver comme en été."
"https://www.etreproprio.com/immobilier-24089454-vente-droit-au-bail-local-55m-chamonix-centre-ville-chamonix-mont-blanc","","Droit au bail local 55m² - chamonix centre ville","150000","59","","2","Chamonix-Mont-Blanc","74400","F","D","","Au coeur du centre ville de Chamonix, dans la galerie commerciale de l'Alpina, droit au bail pour un local commercial.  Situé au RDC et donnant sur l'extérieur de la galerie, ce local de 55.81m² (dont 52.90m² en Loi Carrez) est composé d'un premier niveau de 30.14m² composé d'un espace boutique et de rangements. D'un second niveau en duplex pouvant servir de réserve ou être réaménagé en bureau, pour 20.90m² ainsi qu'une partie rangement / local technique.  Activités autorisés : toutes activités (hors alimentaire)    Charges de copropriété de 155€/mois comprenant : syndic, assurance copropriété, chauffage avec compteur individualisé, charges communes."
"https://www.etreproprio.com/immobilier-24093514-vente-secteur-calme-et-privilegie-chamonix-mont-blanc","","Secteur calme et privilegie","580000","67","","3","Chamonix-Mont-Blanc","74400","E","C","parking","VALLEE DE CHAMONIX MONT-BLANC, ARGENTIERE, secteur Les Rachasses, à proximité des pistes de skis et du coeur du village, dans une petite copropriété, un APPARTEMENT comprenant une entrée, un dressing, une cuisine, une pièce de séjour, deux chambres, une salle de bains, un w.c et un balcon. En dépendances : une cave et un garage.  Travaux de rénovation à prévoir. Rare à la vente. Corinne MICHAUD : +33 (0)7 62 16 97 43 - OFFRE EXCLUSIVE !"
"https://www.etreproprio.com/immobilier-24089806-vente-chalet-mitoyen-a-vendre-a-chamonix-mont-blanc-chamonix-mont-blanc","","Chalet  mitoyen à vendre à chamonix-mont-blanc","1995000","159","","5","Chamonix-Mont-Blanc","74400","B","A","parking","Découvrez ce magnifique chalet  mitoyen de 159,23m² de surface totale (132,40m² de surface loi carrez) situé à Chamonix-Mont-Blanc, au cœur des Alpes françaises. Doté de quatre chambres et cinq pièces, ce bien exceptionnel allie confort moderne et charme montagnard. Le salon spacieux dispose d'une cheminée accueillante, parfaite pour se détendre après une journée sur les pistes.     Ce chalet est entièrement meublé et équipé avec des prestations haut de gamme, y compris des fenêtres coulissantes à double vitrage, un thermostat connecté et des volets électriques. L'accès à Internet est déjà installé, vous permettant de rester connecté tout en profitant de la tranquillité de la montagne.     À l'extérieur, vous apprécierez le carport pratique et l'éclairage extérieur qui met en valeur ce bien unique. Relaxez-vous dans le sauna privé après une journée de ski, ou profitez simplement du paysage depuis la terrasse ensoleillée dotée d'un store. Ce chalet représente une occasion rare d'acquérir une propriété de qualité dans l'une des destinations alpines les plus prisées."
"https://www.etreproprio.com/immobilier-24090406-vente-appartement-25m-a-chamonix-mont-blanc-chamonix-mont-blanc","Appartement","Appartement 25m² à chamonix-mont-blanc","295000","25","","2","Chamonix-Mont-Blanc","74400","E","B","parking, ascenseur","Charme épuré pour ce duplex. Dans un bâtiment très bien situé à deux pas du centre ville, à proximité immédiate du télécabine de l'Aiguille du Midi ainsi que de la gare de bus de Chamonix Sud, l'appartement donne sur une belle cour dans un cadre privilégié. L'accès au bâtiment et aux étages est sécurisé par badge et interphone avec appel sur le téléphone portable. Vue sur les Aiguilles de Chamonix, de l'Aiguille Verte au Mont-Blanc ainsi que ses glaciers depuis le balcon. Equipement irréprochable, habitable immédiatement. Copropriété dynamique et prometteuse d'un bel environnement qualitatif pour l'avenir proche. Peut accueillir 4 personnes (jusqu'à 6 après quelques travaux) et présente un excellent potentiel de transformation et de revenus locatifs. Cave et place de parking complètent ses atouts imbattables pour ce lieux magique. Le bien comprend 2 lots, et il est situé dans une copropriété de 78 lots (les charges courantes annuelles moyennes de copropriété sont de 1260 ¤ et le syndicat des copropriétaires ne fait pas l'objet d'une procédure citée à l'article L. 721-1 du code de la construction et de l'habitation). Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : www.georisques.gouv.fr Prix de vente : 295 000 ¤ Honoraires charge vendeur Contactez votre conseiller SAFTI : Cédric UNDRITZ, Tél. : [Coordonnées masquées], E-mail : [Coordonnées masquées] - EI - Agent commercial immatriculé au RSAC de Annecy sous le numéro 878 129 576. Informations LOI ALUR : Soumis au régime de copropriété. Nombre de lots : 78. Quote part annuelle(moyenne) : 1260 euros. Honoraires charge vendeur. (gedeon_26118_32355164)"
"https://www.etreproprio.com/immobilier-23650510-vente-vente-interactive-chalet-d-exception-chamonix-mont-blanc-chamonix-mont-blanc","","Vente interactive - chalet d’exception chamonix mont blanc","2230000","160","830","7","Chamonix-Mont-Blanc","74400","C","A","parking, balcon/terrasse, jardin, piscine","Idéalement situé à proximité immédiate du centre de Chamonix, magnifique chalet standing de 160 m2 sur un terrain paysagé de 828 m2, parfaitement exposé Sud-Ouest. Il offre 5 chambres ensuite, un séjour cathédrale avec cheminée centrale et des vues exceptionnelles sur le Mont-Blanc et le Brévent. Prestations haut de gamme : piscine chauffée, jacuzzi, cuisine extérieure et salon d’été, mazot savoyard, garage de 30 m2 et 2 places de parking extérieures. Environnement calme, sans vis-à-vis, à proximité immédiate des remontées de l’Aiguille du Midi et de toutes les commodités (Gare routière, commerces et restaurants). Un bien rare alliant élégance alpine, confort et emplacement d’exception. Chalet éco-performant (classe énergétique C selon DPE) construit en 2014 et très bien entretenu, situé en zone blanche du PPRN (pas de risque d'inondation ou d'avalanche). Les informations sur les risques auxquels ce bien est exposé sont disponibles sur : www.georisques.gouv.fr Merci de nous contacter pour plus d'informations, photos et vidéo pour cette propriété d'exception par Whatsapp au (+33) 6 56 85 47 88 ou par mail [Coordonnées masquées] Jérôme SCHAEFER, Négociateur immobilier Réseau WAH, inscrit au RC de Thonon-les-Bains, RSAC 853 364 222 « Ce bien est à vendre en vente interactive réalisée par ENCHERES IMMO. Aucun frais supplémentaire n’est à prévoir ni pour l'acquéreur, ni pour le vendeur. La participation à la vente interactive est soumise à agrément préalable. Toutes les offres seront transmises au vendeur, lequel restera libre dans la sélection de l'offre à laquelle il entend donner suite. Une offre en ligne pendant la vente interactive ne constitue pas une offre ferme et définitive au sens de l'article 1114 du Code Civil, mais une simple intention d'achat. Le prix affiché correspond à un prix de première offre possible honoraires de négociation inclus. »  - Annonce rédigée et publiée par un Agent Mandataire -"
"https://www.etreproprio.com/immobilier-24073251-vente-appartement-3-pieces-de-64m2-avec-balcon-dans-residence-de-standing-chamonix-mont-blanc-centre-ville-chamonix-mont-blanc","Appartement","Appartement 3 pièces de 64m2 avec balcon dans résidence de standing, chamonix-mont-blanc centre ville","940000","64","","3","Chamonix-Mont-Blanc","74400","D","D","parking","En plein cœur de Chamonix, dans une résidence de standing recherchée, cet appartement 3 pièces de 64m2 environ offre des prestations de qualité en faisant un produit rare à la vente. Il se compose d'une entrée ouvrant sur un séjour/salle à manger spacieux et lumineux avec un balcon vue Brévent. La cuisine équipée offre de nombreux rangements. Un espace nuit bien séparé de l'espace de vie propose deux chambres, un dressing séparé, deux salles d'eau spacieuses. L'appartement s'accompagne d'une place de parking privative en sous-sol ainsi que d'une grande cave et d'un casier à skis. Toutes les commodités sont accessibles en quelques pas depuis la résidence qui est sécurisée et dotée d'un ascenseur. Nous contacter pour plus de précisions et de photos. A voir sans tarder!  Le bien comprend 3 lots, et il est situé dans une copropriété de 174 lots (les charges courantes annuelles moyennes de copropriété sont de 1558 € et le syndicat des copropriétaires ne fait pas l'objet d'une procédure citée à l'article L. 721-1 du code de la construction et de l'habitation).  Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : www.georisques.gouv.fr Prix de vente : 940 000 € Honoraires charge vendeur  Contactez votre consultant megAgence : Linda MAZEYRIE, Tél. : [Coordonnées masquées], E-mail : [Coordonnées masquées] - EI - Agent commercial immatriculé au RSAC de ANNECY sous le numéro 531 521 227"
"https://www.etreproprio.com/immobilier-24139044-vente-chamonix-mont-blanc-chamonix-mont-blanc","","Chamonix mont-blanc","1950000","134","","4","Chamonix-Mont-Blanc","74400","D","C","parking","Appartement d'exception avec vue panoramique sur le Mont-Blanc  À deux pas du centre-ville, dans une copropriété récente, cet appartement de 4 pièces en dernier étage vous séduira par son agencement exceptionnel et sa vue imprenable sur le majestueux massif du Mont-Blanc.  L'entrée dessert un dressing et un escalier menant à une vaste pièce de vie ouverte sur une cuisine équipée. Trois chambres confortables, un bureau et une buanderie complètent cette distribution fonctionnelle, avec trois salles de bains attenantes.  Une superbe loggia offre un accès direct à cette vue d'exception. En complément, le bien dispose de deux garages, deux casiers à skis et d'une cave, un atout indéniable pour une résidence principale ou un pied-à-terre de prestige. Corinne MICHAUD : + 33 (0)7 62 16 97 43"
"https://www.etreproprio.com/immobilier-24128746-vente-grand-appartement-au-bord-de-l-arve-chamonix-mont-blanc","Appartement","Grand appartement au bord de l'arve","2150000","141","","4","Chamonix-Mont-Blanc","74400","D","B","ascenseur","Cet appartement d'environ 237 m² au sol, rénové en 2005 par MGM, comprend une entrée avec placards et WC, desservant une accueillante pièce de vie cathédrale avec salon, salle à manger, cuisine ouverte et cheminée à insert fermé au centre. Un premier balcon offre une vue magnifique sur le massif du Mont-Blanc, et le second une vue sur le Brévent. Ce bien se compose également d'une master bedroom avec dressing et salle de bains attenante. Un étage mansardé de 96 m² avec mezzanine mène à une seconde chambre avec salle de douche et WC, ainsi qu'à une troisième chambre. En annexe : une cave avec un casier à skis et une place de parking en sous-sol accessible par une rampe chauffante.  Idéalement situé en centre ville dans une rue calme au bord de l'Arve avec accès à toutes commodités."
"https://www.etreproprio.com/immobilier-24123628-vente-chamonix-les-bossons-chalet-exceptionnel-vue-panoramique-piscine-5-chambres-chamonix-mont-blanc","","Chamonix les bossons - chalet exceptionnel, vue panoramique, piscine 5 chambres","3990000","301","","6","Chamonix-Mont-Blanc","74400","A","A","parking, balcon/terrasse, jardin, piscine","Un chalet d’exception de plus de 300 m², niché au cœur du quartier des Bossons à Chamonix. Entièrement repensée avec des matériaux nobles, cette ancienne ferronnerie offre un cadre de vie unique, alliant charme, élégance et confort absolu.    La vaste pièce de vie se compose d’un salon chaleureux et lumineux autour d'une cheminée centrale, le coin bibliothèque est baigné de lumière, la cuisine ouverte est entièrement équipée, prolongée par une élégante salle à manger. Les volumes généreux et l'accès au toit terrasse et les nombreuses ouvertures offrent une luminosité naturelle exceptionnelle et une vue spectaculaire sur les sommets.     Le chalet dispose de 5 chambres spacieuses et lumineuses, 4 salles de bains modernes.   Le dernier étage est entièrement dédié à une suite parentale avec salon privé, dressing, salle d’eau, et balcon privé face à l’Aiguille du Midi.   Quatre autres chambres offrent de beaux volumes, dont deux avec dressing et salle de bains privative.     L’entrée principale dispose de nombreux rangements intégrés pour un quotidien organisé.    Un véritable espace relaxation se situe au rez des chaussée  avec une piscine intérieure, un sauna, une douche et un accès direct au jardin paysager. Idéal pour se ressourcer en toute sérénité.    Vue imprenable sur la chaîne du Mont-Blanc, l’Aiguille du Midi et le glacier des Bossons  Exposition plein sud assurant un ensoleillement optimal toute la journée Terrasses et balcons privatifs à chaque étage    Finitions haut de gamme, bois de chêne huilé et noyer massi    Garage double, ski room, buanderie, cave sous pente avec trappe vitrée    4 places de stationnement extérieures    Localisation privilégiée    Le quartier des Bossons séduit par son environnement calme, ses vues spectaculaires et sa proximité immédiate avec le centre de Chamonix (à seulement 5 minutes en voiture). Les remontées mécaniques, transports en commun, commerces et départs de randonnées sont accessibles en quelques minutes à pied."
